Video_ID,Komentar,Jumlah_Suka
lslu0_8OynQ,𝙍𝙖𝙠𝙮𝙖𝙩 𝙩𝙚𝙧𝙡𝙖𝙡𝙪 𝙘𝙚𝙥𝙖𝙩 𝙡𝙪𝙥𝙖 𝙡𝙞𝙝𝙖𝙩 𝙨𝙖𝙟𝙖 𝙗𝙚𝙨𝙤𝙠 𝙥𝙖𝙨 𝙥𝙚𝙢𝙞𝙡𝙪,0
lslu0_8OynQ,Anehnya presiden teriak² pemberantasan korupsi... Tapi didalam tubuh pemerintahannya sendiri banyak praktek KKN.,0
lslu0_8OynQ,Quote di tesis gue soal Internet Shutdown di Papua: Lebih besar kemungkinan kesamber petir 2x berturut2 daripada wartawan asing mendapatkan izin untuk meliput di Papua,0
lslu0_8OynQ,Semua program pemerintah sekarang makin gampang diakses dan tepat sasaran,0
lslu0_8OynQ,Sudah saat nya revolusi ✊🔥,0
lslu0_8OynQ,"MEMANG FILM DOKUMENTER ""PESTA BABI"" YANG MENAYANGKAN REALITA SEBENARNYA DI TANAH PAPUA... 
MASYARAKAT HARUS NONTON SUPAYA TAU APA YANG SEBENARNYA TERJADI DI PAPUA   HINGGA SEKARANG INI... 
TERIMA KASIH UNTUK MAS DANDY SEBAGAI SUTRADARA DI FILM INI.... MAJU TERUS UNTUK MENYUARAKAN KENYATAAN YANG SEBENARNYA DI TANAH PAPUA... 🙏👍👍👍👍
""REQUEST MAS DANDY... MUNGKIN BISA MENGANGKAT KEMBALI KEJANGGALAN SEJARAH ""PENENTUAN PENDAPAT RAKYAT / PEPERA 1969 DI PAPUA (IRIAN BARAT)... 🙏🙏",1
lslu0_8OynQ,"Jelas2 tugasnya TNI bukan Dwi Fungsi ABRI jaman Orba,,,sekarang malah lenih Multifungsi,,.....",0
lslu0_8OynQ,Apa anda tidak cinta negeri yg membesarkan anda selalau menjelekan negeri tempat nenek monyang sampai anda hidup masih di sini,0
lslu0_8OynQ,"""Pesta Babi"" memang upacara adat masyarakat adat papua untuk menyelesaikan berbagai masalah antara manusia dengan manusia,manusia dgn alam dan manusia dgn Tuhan. Hanya setiap suku punya nama dan cara sendiri2. Klo Kami di Wamena menyebutnya ""Mawe"" pesta babi setiap 2 atau 5 tahun sekali di semua rumah adat masing2. Pesta babi atau Mawe ada turunannya lagi dalam adat untuk menyelesaikan masalah dari dalam diri atau dari. Kenapa Pesta Babi atau Mawe karena dalam upacara adat tersebut yg harus dibayar adalah babi sesuai aturan adat, lalu kenapa salib merah? Setiap benda atau orang yg dipakai untuk menyelesaikan masalah biasa diolesi darah babi. Jadi salib merah, itu artinya salib yg sdh diolesi darah babi sebagai simbol penyelesaian masalah. Semoga membantu...😊terima kasih mas Dandhy Dwi Laksono dgn teman2 Indonesia Biru dan lain2 yg mengangkat isu ini. Terima kasih semuany🎉🎉🎉semoga semua makhluk berbahagia❤",0
lslu0_8OynQ,Pemerintah terus aktif cari solusi supaya kebutuhan masyarakat selalu terpenuhi,0
